country,CURRENT_ACCOUNT,EXPORTS,FDI,GDP_GROWTH,GDP_PC,GOV_DEBT,IMPORTS,INFLATION,POPULATION,UNEMPLOYMENT
Benin,,4047363784.45537,543007400.0,7.45311566226201,1485.38018885134,,4683140133.79221,1.16093089640415,14462724.0,1.637
Burkina Faso,-3.96877055984497,6608822103.86993,-202224388.094201,4.83395810163883,982.493100418428,64.1848911988902,7387126425.77464,4.19081721344523,23548781.0,3.441
Cote d'Ivoire,-4.46811097764034,22673827945.9702,3121671772.60831,6.0195346193922,2727.8935220697,,21984729877.2984,3.45053028131019,31934230.0,2.273
Ghana,1.91923157284388,29197465998.8647,1765552579.5641,5.84746854280382,2419.2518672482,,28244066026.1723,22.8483281157842,34427414.0,2.82
Guinea,-1.56673613616474,10351843899.1646,1401830000.0,5.35004659049265,1694.95375862185,,14101095979.5768,8.12313914948596,14754785.0,5.132
Liberia,2.50632277204121,,471538316.99677,4.02185464964835,851.497723870206,,,8.21497439118964,5612817.0,2.914
Mali,-4.32974251221221,5974568257.06758,921044497.586045,5.01653579205785,1093.2523323649,,7343580592.96065,3.2063986409966,24478595.0,2.924
Senegal,,8197606373.40137,2016428880.0,6.46220577412338,1738.73223822106,,13754025059.2901,0.804503298792438,18501984.0,2.788
Sierra Leone,-14.1190349801252,1203610315.47802,121785333.781549,4.29322334404611,806.654650274255,,1622864248.13392,28.6337500014115,8642022.0,3.103
